Symbol,A,B,C,D,I,J,K,L,M,N,O,P
A,ong,ongx,ongq,ok,,,,,,,,
B,yong,,yongq,yok,,,,,,,,
C,,,,,ung,ungx,ungq,uk,,,,
D,,,,,yung,yungx,yungq,yuk,,,,
E,,,,,eung,eungx,eungq,euk,,,,
F,ye,yex,yeq,,yue,yuex,yueq,,,,,
G,yei,yeix,yeiq,,yuei,yueix,yueiq,,,,,
H,yee,yeex,yeeq,,,,,,,,,
I,yeei,yeeix,yeeiq,,yueei,yueeix,yueeiq,,,,,
J,yoo,yoox,yooq,,,,,,,,,
K,yo,yox,yoq,,,,,,,,,
L,o,ox,oq,,,,,,,,,
M,iai,iaix,iaiq,,iuai,,iuaiq,,,,,
N,,,yaeiq,,,,yuaeiq,,,,,
O,,,aiq,,,,uaiq,,,,,
P,eai,eaix,eaiq,,oai,oaix,oaiq,,,,,
Q,eaai,eaaix,eaaiq,,oaai,,oaaiq,,,,,
R,,,eaeiq,,,,oaeiq,,,,,
S,,,,,uaai,uaaix,uaaiq,,,,,
T,aai,aaix,aaiq,,,,,,,,,
U,,,yaiq,,,,yuaiq,,,,,
V,yen,yenx,yenq,yet,yuen,yuenx,yuenq,yuet,yuen,yuenx,,yuet
W,en,enx,enq,et,,,,,,,,
X,,,,,yueen,yueenx,yueenq,yueet,,,,
Y,yeen,yeenx,yeenq,yeet,,,,,,,,
Z,yan,yanx,yanq,yat,yuan,yuanx,yuanq,yuat,,,,
a,,,,,uaan,uaanx,uaanq,uaat,,,,
b,aan,aanx,aanq,aat,,,,,,,,
c,an,anx,anq,at,uan,uanx,uanq,uat,,,,
d,ean,eanx,eanq,eat,oan,oanx,oanq,oat,,,,
e,eaen,eaenx,eaenq,eaet,oaen,oaenx,oaenq,oaet,,,,
f,yaen,yaenx,yaenq,yaet,yuaen,yuaenx,yuaenq,yuaet,,,,
g,ian,ianx,ianq,iat,iuan,iuanx,iuanq,iuat,,,,
h,iou,ioux,iouq,,,,,,,,,
i,you,youx,youq,,,,,,,,,
j,eou,eoux,eouq,,,,,,,,,
k,ou,oux,ouq,,,,,,,,,
l,a,ax,aq,,ua,uax,uaq,,,,,
m,ya,,,,yua,yax,,,,,,
n,ea,eax,eaq,,oa,oax,oaq,,,,,
o,ya,yax,yaq,,,,,,,,,
p,yang,yangx,yangq,yak,yuang,yuangx,yuangq,yuak,,,,
q,ang,angx,angq,ak,uang,uangx,uangq,uak,,,,
r,eng,engx,engq,ek,ong,ongx,ongq,ok,,,,
s,yeng,yengx,yengq,yek,yueng,yuengx,yuengq,yuek,,,,
t,eng,engx,engq,ek,ong,ongx,ongq,ok,,,,
u,yeng,yengx,yengq,yek,yueng,yuengx,yuengq,yuek,,,,
v,ieng,iengx,iengq,iek,iueng,iuengx,iuengq,iuek,,,,
w,yeeng,yeengx,yeengq,yeek,,,,yueek,,,,
x,aang,aangx,aangq,aak,uaang,,,uaak,,,,
y,,,,,yu,yux,yuq,,,,,
z,,,,,u,ux,uq,,,,,
0,,,,,iu,iux,iuq,,,,,
1,yem,yemx,yemq,yep,,,,,,,,
2,am,amx,amq,ap,,,,,,,,
3,aem,aemx,aemq,aep,,,,,,,,
4,yaem,yaemx,yaemq,yaep,,,,,,,,
5,iam,iamx,iamq,iap,,,,,,,,
6,eam,eamx,eamq,eap,,,,,,,,
7,eaem,eaemx,eaemq,eaep,,,,,,,,
8,yam,yamx,yamq,yap,,,,,,,,
9,,,,,yuam,yuamx,yuamq,yuap,,,,
