Symbol,A,B,C,D,I,J,K,L,M,N,O,P
A,oŋ˥˥,oŋ˧˥,oŋ˥˧,ok˥,,,,,,,,
B,i̯oŋ˥˥,,i̯oŋ˥˧,i̯ok˥,,,,,,,,
C,,,,,uŋ˥˥,uŋ˧˥,uŋ˥˧,uk˥,,,,
D,,,,,i̯uŋ˥˥,i̯uŋ˧˥,i̯uŋ˥˧,i̯uk˥,,,,
E,,,,,euŋ˥˥,euŋ˧˥,euŋ˥˧,euk˥,,,,
F,i̯e˥˥,i̯e˧˥,i̯e˥˧,,i̯ue˥˥,i̯ue˧˥,i̯ue˥˧,,,,,
G,i̯ei˥˥,i̯ei˧˥,i̯ei˥˧,,i̯uei˥˥,i̯uei˧˥,i̯uei˥˧,,,,,
H,i̯ə˥˥,i̯ə˧˥,i̯ə˥˧,,,,,,,,,
I,i̯əi˥˥,i̯əi˧˥,i̯əi˥˧,,i̯uəi˥˥,i̯uəi˧˥,i̯uəi˥˧,,,,,
J,i̯ɔ˥˥,i̯ɔ˧˥,i̯ɔ˥˧,,,,,,,,,
K,i̯o˥˥,i̯o˧˥,i̯o˥˧,,,,,,,,,
L,o˥˥,o˧˥,o˥˧,,,,,,,,,
M,iæi˥˥,iæi˧˥,iæi˥˧,,iuæi˥˥,,iuæi˥˧,,,,,
N,,,i̯æi˥˧,,,,i̯uæi˥˧,,,,,
O,,,ai˥˧,,,,uai˥˧,,,,,
P,eai˥˥,eai˧˥,eai˥˧,,oai˥˥,oai˧˥,oai˥˧,,,,,
Q,eɐi˥˥,eɐi˧˥,eɐi˥˧,,oɐi˥˥,,oɐi˥˧,,,,,
R,,,eæi˥˧,,,,oæi˥˧,,,,,
S,,,,,uɐi˥˥,uɐi˧˥,uɐi˥˧,,,,,
T,ɐi˥˥,ɐi˧˥,ɐi˥˧,,,,,,,,,
U,,,i̯ɐi˥˧,,,,i̯uɐi˥˧,,,,,
V,i̯en˥˥,i̯en˧˥,i̯en˥˧,i̯et˥,i̯uen˥˥,i̯uen˧˥,i̯uen˥˧,i̯uet˥,i̯uen˥˥,i̯uen˧˥,,i̯uet˥
W,en˥˥,en˧˥,en˥˧,et˥,,,,,,,,
X,,,,,i̯uən˥˥,i̯uən˧˥,i̯uən˥˧,i̯uət˥,,,,
Y,i̯ən˥˥,i̯ən˧˥,i̯ən˥˧,i̯ət˥,,,,,,,,
Z,i̯ɐn˥˥,i̯ɐn˧˥,i̯ɐn˥˧,i̯ɐt˥,i̯uɐn˥˥,i̯uɐn˧˥,i̯uɐn˥˧,i̯uɐt˥,,,,
a,,,,,uɐn˥˥,uɐn˧˥,uɐn˥˧,uɐt˥,,,,
b,ɐn˥˥,ɐn˧˥,ɐn˥˧,ɐt˥,,,,,,,,
c,an˥˥,an˧˥,an˥˧,at˥,uan˥˥,uan˧˥,uan˥˧,uat˥,,,,
d,ean˥˥,ean˧˥,ean˥˧,eat˥,oan˥˥,oan˧˥,oan˥˧,oat˥,,,,
e,eæn˥˥,eæn˧˥,eæn˥˧,eæt˥,oæn˥˥,oæn˧˥,oæn˥˧,oæt˥,,,,
f,i̯æn˥˥,i̯æn˧˥,i̯æn˥˧,i̯æt˥,i̯uæn˥˥,i̯uæn˧˥,i̯uæn˥˧,i̯uæt˥,,,,
g,iæn˥˥,iæn˧˥,iæn˥˧,iæt˥,iuæn˥˥,iuæn˧˥,iuæn˥˧,iuæt˥,,,,
h,iou˥˥,iou˧˥,iou˥˧,,,,,,,,,
i,i̯ou˥˥,i̯ou˧˥,i̯ou˥˧,,,,,,,,,
j,eou˥˥,eou˧˥,eou˥˧,,,,,,,,,
k,ou˥˥,ou˧˥,ou˥˧,,,,,,,,,
l,a˥˥,a˧˥,a˥˧,,ua˥˥,ua˧˥,ua˥˧,,,,,
m,i̯a˥˥,,,,i̯ua˥˥,i̯a˧˥,,,,,,
n,ea˥˥,ea˧˥,ea˥˧,,oa˥˥,oa˧˥,oa˥˧,,,,,
o,i̯a˥˥,i̯a˧˥,i̯a˥˧,,,,,,,,,
p,i̯aŋ˥˥,i̯aŋ˧˥,i̯aŋ˥˧,i̯ak˥,i̯uaŋ˥˥,i̯uaŋ˧˥,i̯uaŋ˥˧,i̯uak˥,,,,
q,aŋ˥˥,aŋ˧˥,aŋ˥˧,ak˥,uaŋ˥˥,uaŋ˧˥,uaŋ˥˧,uak˥,,,,
r,eŋ˥˥,eŋ˧˥,eŋ˥˧,ek˥,oŋ˥˥,oŋ˧˥,oŋ˥˧,ok˥,,,,
s,i̯eŋ˥˥,i̯eŋ˧˥,i̯eŋ˥˧,i̯ek˥,i̯ueŋ˥˥,i̯ueŋ˧˥,i̯ueŋ˥˧,i̯uek˥,,,,
t,eŋ˥˥,eŋ˧˥,eŋ˥˧,ek˥,oŋ˥˥,oŋ˧˥,oŋ˥˧,ok˥,,,,
u,i̯eŋ˥˥,i̯eŋ˧˥,i̯eŋ˥˧,i̯ek˥,i̯ueŋ˥˥,i̯ueŋ˧˥,i̯ueŋ˥˧,i̯uek˥,,,,
v,ieŋ˥˥,ieŋ˧˥,ieŋ˥˧,iek˥,iueŋ˥˥,iueŋ˧˥,iueŋ˥˧,iuek˥,,,,
